xe   ye   ze theta_0   theta_1   theta_2   theta_3
10 6 0 0.000000 130.355820 29.584373 0.000000 
10 8 0 0.000000 134.030258 38.124912 0.000000 
10 10 0 0.000000 134.686325 47.156361 0.000000 
10 12 0 0.000000 133.553772 56.658398 0.000000 
10 14 0 0.000000 131.210907 66.699371 0.000000 
10 16 0 0.000000 127.922134 77.421455 0.000000 
10 18 0 0.000000 123.765800 89.066246 0.000000 
10 20 0 0.000000 118.658501 102.057251 0.000000 
10 20 2 11.309933 118.004646 102.270409 0.000000 
10 18 2 11.309933 123.057495 89.274651 0.000000 
10 16 2 11.309933 127.142349 77.634865 0.000000 
10 14 2 11.309933 130.339279 66.926064 0.000000 
10 12 2 11.309933 132.563889 56.907467 0.000000 
10 10 2 11.309933 133.542938 47.439911 0.000000 
10 8 2 11.309933 132.688263 38.461174 0.000000 
10 6 2 11.309933 128.772812 30.003748 0.000000 
10 6 4 21.801409 124.380409 31.331114 0.000000 
10 8 4 21.801409 128.889114 39.536999 0.000000 
10 10 4 21.801409 130.268784 48.352421 0.000000 
10 12 4 21.801409 129.708893 57.711910 0.000000 
10 14 4 21.801409 127.812843 67.659966 0.000000 
10 16 4 21.801409 124.873383 78.327057 0.000000 
10 18 4 21.801409 120.989410 89.951683 0.000000 
10 20 4 21.801409 116.088531 102.964180 0.000000 
10 20 6 30.963758 113.027580 104.277435 0.000000 
10 18 6 30.963758 117.709785 91.228065 0.000000 
10 16 6 30.963758 121.300049 79.627365 0.000000 
10 14 6 30.963758 123.864952 69.033188 0.000000 
10 12 6 30.963758 125.291992 59.209442 0.000000 
10 10 6 30.963758 125.275208 50.038593 0.000000 
10 8 6 30.963758 123.221832 41.501511 0.000000 
10 6 6 30.963758 118.064606 33.705463 0.000000 
10 6 8 38.659809 110.816727 37.211620 0.000000 
10 8 8 38.659809 116.413651 44.484146 0.000000 
10 10 8 38.659809 119.092270 52.643135 0.000000 
10 12 8 38.659809 119.709984 61.548973 0.000000 
10 14 8 38.659809 118.801346 71.195915 0.000000 
10 16 8 38.659809 116.663086 81.688461 0.000000 
10 18 8 38.659809 113.409500 93.263382 0.000000 
10 20 8 38.659809 108.969688 106.386246 0.000000 
10 20 10 45.000000 104.053688 109.473038 0.000000 
10 18 10 45.000000 108.276291 96.210297 0.000000 
10 16 10 45.000000 111.203232 84.646324 0.000000 
10 14 10 45.000000 112.928268 74.271385 0.000000 
10 12 10 45.000000 113.354500 64.839516 0.000000 
