xe   ye   ze  theta_0   theta_1   theta_2   theta_3
10 6 0 0.000000 2.275138 0.516345 0.000000 
10 8 0 0.000000 2.339269 0.665405 0.000000 
10 10 0 0.000000 2.350720 0.823034 0.000000 
10 12 0 0.000000 2.330953 0.988876 0.000000 
10 14 0 0.000000 2.290062 1.164124 0.000000 
10 16 0 0.000000 2.232662 1.351259 0.000000 
10 18 0 0.000000 2.160121 1.554499 0.000000 
10 20 0 0.000000 2.070982 1.781235 0.000000 
10 20 2 0.197396 2.059570 1.784955 0.000000 
10 18 2 0.197396 2.147758 1.558137 0.000000 
10 16 2 0.197396 2.219053 1.354984 0.000000 
10 14 2 0.197396 2.274849 1.168080 0.000000 
10 12 2 0.197396 2.313676 0.993223 0.000000 
10 10 2 0.197396 2.330764 0.827983 0.000000 
10 8 2 0.197396 2.315847 0.671274 0.000000 
10 6 2 0.197396 2.247509 0.523664 0.000000 
10 6 4 0.380506 2.170848 0.546831 0.000000 
10 8 4 0.380506 2.249539 0.690051 0.000000 
10 10 4 0.380506 2.273619 0.843909 0.000000 
10 12 4 0.380506 2.263847 1.007263 0.000000 
10 14 4 0.380506 2.230755 1.180889 0.000000 
10 16 4 0.380506 2.179452 1.367065 0.000000 
10 18 4 0.380506 2.111664 1.569953 0.000000 
10 20 4 0.380506 2.026127 1.797064 0.000000 
10 20 6 0.540420 1.972703 1.819985 0.000000 
10 18 6 0.540420 2.054423 1.592230 0.000000 
10 16 6 0.540420 2.117085 1.389760 0.000000 
10 14 6 0.540420 2.161851 1.204856 0.000000 
10 12 6 0.540420 2.186758 1.033400 0.000000 
10 10 6 0.540420 2.186465 0.873338 0.000000 
10 8 6 0.540420 2.150627 0.724338 0.000000 
10 6 6 0.540420 2.060616 0.588271 0.000000 
10 6 8 0.674741 1.934117 0.649465 0.000000 
10 8 8 0.674741 2.031801 0.776395 0.000000 
10 10 8 0.674741 2.078552 0.918796 0.000000 
10 12 8 0.674741 2.089333 1.074232 0.000000 
10 14 8 0.674741 2.073475 1.242603 0.000000 
10 16 8 0.674741 2.036155 1.425733 0.000000 
10 18 8 0.674741 1.979369 1.627753 0.000000 
10 20 8 0.674741 1.901880 1.856790 0.000000 
10 20 10 0.785398 1.816079 1.910665 0.000000 
10 18 10 0.785398 1.889778 1.679186 0.000000 
10 16 10 0.785398 1.940863 1.477357 0.000000 
10 14 10 0.785398 1.970970 1.296280 0.000000 
10 12 10 0.785398 1.978409 1.131663 0.000000 
10 10 10 0.785398 1.958662 0.981801 0.000000 
10 8 10 0.785398 1.904150 0.847056 0.000000 
10 6 10 0.785398 1.804181 0.730029 0.000000 
10 6 12 0.876058 1.677408 0.828327 0.000000 
10 8 12 0.876058 1.774999 0.935835 0.000000 
10 10 12 0.876058 1.833430 1.062740 0.000000 
10 12 12 0.876058 1.859534 1.206695 0.000000 
10 14 12 0.876058 1.858822 1.367360 0.000000 
10 16 12 0.876058 1.834750 1.546536 0.000000 
10 18 12 0.876058 1.788330 1.748961 0.000000 
10 20 12 0.876058 1.717057 1.984943 0.000000 
